,Covidence #,Study ID,Title,Reviewer Name,Study ID (from Covidence),Paper Title,Authors ,Year Published,Journal (or publication) Title,Literature Type,Basin in which the article is focused?,What is the stated objective and/or purpose of the study/paper?,What is the stated hypothesis or research question of the study/paper?,Is the paper/study more applied (management focused) or more empirical/theoretical/disciplinary-oriented (basic science)?,What is the primary discipline of the study?,What are the methods used in this study (copy/paste)?,What is the data source(s) used in this study? ,Dates that the study took place? (if relevant),Does the paper talk meaningfully about indigenous worldviews?,What type of knowledge does the study/paper use?,"Is the paper meaningfully interdisciplinary between social and natural sciences (methods, discussion, etc.)?","If yes, please describe.",What species are discussed in the paper?,What type of hatchery/cultivation/stocking program does the paper discuss?,"Does the paper state the objective of the cultivation/hatcheries/stocking it discusses, and if so what is it?","If so, state the objective of the cultivation/hatcheries/stocking.",What type of aquatic system does the hatchery/cultivation/stocking effort use?,How many generations are the brood stock held in the hatchery as stated in the paper?,"If known, indicate the discrete number of generations.",At what life stage are fish released?,"If stated, specify age of release?","If released as fry, what stage of feeding at release?","If feed is used in the study, does the paper indicate the type/brand/origin of the feed?","If yes, please state.",Does the paper state any conclusion about the efficacy of the hatchery/stocking/cultivation program?,"If yes, state conclusion here.","Does the paper have a stated definition of ""wild"" salmon as relevant to the hatchery discussion?","If yes, copy-paste definition/description here:",Do the results suggest one or more hatchery and/or stocking standard(s) or practice(s) for conserving salmonids?,"If so, what is it/are they? ",Do the authors identify a gap/gaps in scientific knowledge of hatchery and/or stocking standard(s) or practice(s)?,"If so, what is it/are they? ","Does the paper state a specific management recommendation? If so, what is it?",What is the key message/finding of the paper?,What are the key themes of the paper?,Does the paper meaningfully and/or explicitly discuss its findings in the context of climate change?,Does this paper meaningfully address one of the key research question topics?,Full authors
0.02554833,24115,Connor 2013,"Evidence for density-dependent changes in growth, downstream movement, and size of chinook salmon subyearlings in a large-river landscape",Consensus,24115,"Evidence for density-dependent changes in growth, downstream movement, and size of Chinook salmon subyearlings in a large-river landscape",Connor et al,2013,Transactions Of The American Fisheries Society,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,document and understand changes in (1) abundance during rearing (2) the growth rate of parr in rivers and (3) the growth rate as the fish passed through a reservoir,"we hypothesized that increased abundance affected parr growth, the time of dispersal, and size at dispersal (H1). Our second research hypothesis was that increased abundance affected smolt growth, the time
of passage, and smolt size in the reservoir (H2)",Both (study has strong elements of both),"Biology/ecology (prey/feeding, migrations, interactions/competition, predation, etc.)",beach seine at 11-15 locatiosn along 142km of migratory route and look for changes,Empirical data,1992-2011,No,Western science,No,,King/Chinook (Oncorhynchus tshawytscha),Purpose not stated,Yes,"Management efforts have been implemented in response to ESA listing and other federally mandated mitigation programs to increase the size of the population and the survival
of Snake River basin fall Chinook Salmon;","Mentions stocking only, system not specified",Not stated,,Not stated,,,Feed use not mentioned,,Yes,"In a circuitous way, natural parr and
smolts have begun to regain the movement timing and size phenotypes expressed by their historical counterparts under sim-
ilarly high abundances. Thus, this study shows that efforts to recover native fishes can have detectable effects in large-river
landscapes",Yes," After hatchery smolts were released upstream of a given seining station, the origin (i.e., natural or hatchery) of each collected unmarked fish was classified based on morphology (overall accuracy, 98.7%; Tiffan
and Connor 2011).",No,,Yes," The outcome of such phenotypic change, which is an important area of future research in large-river landscapes, can only be fully judged by examining the effect of the change
on population viability and productivity.",,increasing abundance through hatchery production restores natural behavior and growth patterns,abundance is important,No,Conserving wild populations,"Connor, W.P.; Tiffan, K.F.; Plumb, J.M.; Moffitt, C.M."
0.029362119,5353,Haring 2016,Differences in egg quantity and quality among hatchery- and wild-origin Chinook salmon (Oncorhynchus tshawytscha),Consensus,5353,Differences in egg quantity and quality among hatchery- and wild-origin Chinook salmon (Oncorhynchus tshawytscha),Haring et al. ,2016,Canadian Journal of Fisheries and Aquatic Sciences,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Other: Lake Ontario,"As such, the objective of the present study was to examine differences in reproductive traits, particularly egg quality, between hatchery- and wild-origin Lake Ontario Chinook salmon",none,More empirical/basic science,"Fish Health; Stock analysis (assessment, growth, recruitment, survival, harvest, contributions from wild and hatchery, etc.)","We examined differences in egg number (gonad mass and fecundity) and quality (mass, lipids, fatty acids) between spawning hatchery- and wild-origin Chinook salmon (Oncorhynchus tshawytscha) from Lake Ontario",Empirical data,,No,Western science,No,,King/Chinook (Oncorhynchus tshawytscha),Harvest/fisheries augmentation,Yes,"Chinook salmon were introduced into Lake Ontario to establish a top predator as a biological control of nuisance fish species (e.g., alewife
(Alosa pseudoharengus) and rainbow smelt (Osmerus mordax)) and to support recreational fisheries","Mentions stocking only, system not specified","None, new brood stock collected each year",,Fry,,,No,,Irrelevant to study,,Yes,"É??Hatchery-originÉ?ù can be used to describe individuals that are artificially fertilized and subsequently raised in a controlled hatchery setting until eventually released back into the wild as juveniles. Such practices differ substantially from natural recruitment, as hatcheries impose a soft selection pressure to the developing offspring, where temperature and diet are favourable and no predators or other natural selection pressures are present. Such benign environments can result in unintentional selection on critical early life-history traits and lead to the divergence of
hatchery fish from their wild counterparts 

Upon collection, females were humanely euthanized and the origin of the female identified by the presence (wild-origin) or absence (hatchery-origin) of the adipose fin. ",No,,No,,"Although the purpose of a hatchery setting is to create a suitable environment that yields high offspring survival and rapid growth rates, it is likely that hatchery and wild fish might not ever achieve a similar maternal investment later in life, unless fry are stocked out earlier in development or other selection pressures are introduced to the hatchery environment.","We found that certain components of the femaleÉ??s reproductive biology did differ between hatchery- and wild-origin females, while other important aspects of egg quality did not. More specifically, hatchery-origin females were found to allocate significantly less energy into egg and gonadal development, but produced eggs of similar total lipid concentration and FA composition as their wild counterparts. The results from the present study suggests that the differing environmental conditions and associated selection pressures of captive rearing during early life can alter certain life-history traits later in development, namely gonad mass and egg size","reproductive investment, hatchery vs wild, Lake Ontario Chinook",No,Supporting fisheries,"Haring, Michaela W.; Johnston, Tom A.; Wiegand, Murray D.; Fisk, Aaron T.; Pitcher, Trevor E."
0.030313574,5855,Kline 2014,"Putting the Red Back in Redfish Lake, 20 Years of Progress Toward Saving the Pacific Northwest's Most Endangered Salmon Population",Consensus,5855,"Putting the Red Back in Redfish Lake, 20 Years of Progress  Toward Saving the Pacific NorthwestÉ??s Most Endangered  Salmon Population",Kline et al. ,2014,Fisheries,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,"The chief aim of this article is to describe the development and implementation of hatchery-based gene rescue activities, review 
 present-day release strategies and associated adult returns, and 
 describe a new effort underway to expand program production to more effectively address recolonization and local adaptation objectives. In addition, we describe achievable population triggers to allow the transition from a hatchery-based effort to a habitat-based effort that should allow natural population recovery to proceed",none,More management/applied,Management; Rearing practices/technology,"In this article, we describe the results of this gene rescue effort  that are helping stabilize population genetics and demographics and expand the abundance of wild fish. We also provide the  methods we are using to develop achievable population triggers  to allow the transition from a hatchery-based effort to a habitat-based effort that should allow natural population recovery to proceed. No true ""methods"" provided",Empirical data; Literature review,,No,Western science,No,,Red/Sockeye (Oncorhynchus nerka),Harvest/fisheries augmentation; Conservation stocking; Restoration stocking,Yes,"The near-term goal was to  avoid extinction and to maintain remaining genetic diversity and population heterozygosity. The long-term goal is to rebuild populations to facilitate delisting and to increase abundance to 
levels sufficient to support sport and tribal harvest needs","Mentions stocking only, system not specified",Paper state that mixed discrete/multiple generations and new brood stock are used,,Egg; Juvenile; Smolt; Adult,,,Feed use not mentioned,,Yes,"The results indicate that properly scaled smolt releases  could be sufficient to produce enough adults (e.g., 5,000) from the ocean to recolonize Redfish Lake and that the juveniles  produced from subsequent spawning events could have the increased fitness needed to substantially increase smolt-to-adult return rates to a point matching or exceeding self-sustainability. Our results also indicate that apparent É??extinction vortexÉ?ùÉ??type scenarios (Soule 1986) could be reversable for this population. These results led managers to begin developing estimates of production levels necessary to eventually achieve population stablization and recovery",Yes,"In high abundance years, percentage Hatchery Origin Spawners would be greatly reduced and focus would be on allowing natural (wild) fish to dominate spawning",Yes," To our knowledge, we are the first to report on the use of population integration standards developed by the HSRG to balance both hatchery and developing natural components of critically at-risk populations. It is our recommendation that these types of planning processes become 
standard operating procedures for all population interventions of this type",No,,"The careful stepwise efforts carried out by the Redfish  Lake Sockeye Salmon program in first containing the immediate extinction threat and then addressing multiple levels of gene rescue, habitat improvements, and carrying capacity issues can be seen as a model for future endeavors. As we noted  in the Introduction, over 30 peer-reviewed scientific papers and countless reports have helped set the science-based stage for program advancement. Additionally, at the onset, we convened the Stanley Basin Sockeye Technical Oversight Committee, a working group of state, tribal, federal, and nongovernmental organization partners. This cohesive structure has been foundational in guiding science for the program and is requisite for projects of this kind.","Overall, the Redfish Lake Sockeye Salmon captive broodstock effort has experienced much better success than the earlier captive broodstock gene rescue programs described by Flagg and Mahnken (1995, 2000) and Schiewe et al. (1997). Since the first program-produced adults started returning from the ocean in 1999, over 4,500 adults have been collected at sites in the Sawtooth Valley, over 275 times the number that returned from wild spawners during the entire decade of the 1990s.","Redfish lake Sockeye, hatchery recovery, success",Yes,Conserving wild populations; Supporting fisheries,"Kline, Paul A.; Flagg, Thomas A."
0.031198239,5054,Ozerov 2016,Genomewide introgressive hybridization patterns in wild Atlantic salmon influenced by inadvertent gene flow from hatchery releases,Consensus,5054,Genomewide introgressive hybridization patterns in wild Atlantic salmon influenced by inadvertent gene flow from hatchery releases,Ozerov et al.,2016 et al.,Molecular Ecology ,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Atlantic,"To evaluate the genetic impacts of unwanted gene flow via straying from hatchery releases on remaining
wild populations of Atlantic salmon in the Gulf of Finland","over time, hatchery-released salmon have contributed to the genetic composition of wild populations, potentially leading to changes in population genetic structure and the loss of locally adapted alleles",More empirical/basic science,"Genetic/evolutionary ecology (life history strategies, phenotype/genotype; phenology, restoration ecology)","By applying genomewide analysis using two molecular marker types (1986 SNPs and 17 microsatellites),
we assessed the genetic impacts of inadvertent gene flow via straying from hatchery releases on wild populations of Atlantic salmon in the Gulf of Finland, Baltic Sea, over 16 years (1996É??2012)",Empirical data,,No,Western science,No,,Atlantic Salmon (Salmo salar),Purpose not stated,No,,Irrelevant to study,Paper state that mixed discrete/multiple generations and new brood stock are used,,Not stated,,,Feed use not mentioned,,No,,No,,No,,No,,No,"Our results suggest that hybridization of previously separated populations leads to complex and dynamic nonrandom introgression patterns across the genome that most likely have functional consequences
for indigenous populations","genetic homogenization, genomewide, hatchery releases, introgressive
hybridization,",No,Conserving wild populations,"Ozerov, M. Y.; Gross, R.; Bruneaux, M.; Vaha, J. -P.; Burimski, O.; Pukk, L.; Vasemagi, A."
0.031669134,5270,Evans 2020,Salmon-mediated nutrient flux in Snake River sockeye salmon nursery lakes: the influence of depressed population size and hatchery supplementation,Consensus,5270,Salmon-mediated nutrient flux in Snake River sockeye salmon nursery lakes: the influence of depressed population size and hatchery supplementation,Evans et al. ,2020,Lake and Reservoir Management ,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,"In this study, we quantified sockeye salmon- mediated phosphorus (P) and nitrogen (N) flux in Alturas, Pettit, and Redfish lakes using 20 yr of
population monitoring and captive-rearing program release records","Given the major declines in abundance in recent decades, we predicted that, in the absence of captive-rearing program releases, Snake River
sockeye salmon spawning populations represent net nutrient sinks; that is, smolt outmigrants export more nutrients than adults import.",More empirical/basic science,"Stock analysis (assessment, growth, recruitment, survival, harvest, contributions from wild and hatchery, etc.); Other: nutrient input","In this study, we quantified sockeye salmon- mediated phosphorus (P) and nitrogen (N) flux in Alturas, Pettit, and Redfish lakes using 20 yr of population monitoring and captive-rearing program release records. To evaluate the influence of contemporary management strategies on sockeye
salmon-mediated nutrient dynamics, we estimated flux with and without organic nutrient additions associated with the captive-rearing program. Given the major declines in abundance in recent decades, we predicted that, in the absence of captive-rearing program releases, Snake River
sockeye salmon spawning populations represent net nutrient sinks; that is, smolt outmigrants export more nutrients than adults import. We
also used a historical dataset (Bjornn et al. 1968) to examine sockeye salmon-mediated nutrient flux in Redfish Lake during the 1950s and 1960s, prior to the intensive management efforts currently influencing population and habitat dynamics.  Finally, to provide insight into the interactions between Snake River sockeye salmon population demography, recovery goals, and nutrient dynamics, we modeled relationships among freshwater productivity, smolt-to-adult survival, and sockeye salmon-mediated nutrient flux.
",Empirical data,1998É??2017,No,Western science,No,,Red/Sockeye (Oncorhynchus nerka),Conservation stocking,Yes,counteract population declines,"Mentions stocking only, system not specified",Not stated,,Egg; Parr; Smolt,,,Feed use not mentioned,,Irrelevant to study,,Yes,"On the outlets of Alturas, Pettit, and Redfish lakes, juvenile traps were operated annually to quantify wild/natural (hereafter, wild-born) and captive-origin smolt (i.e., that resulted from parr releases) outmigration",Yes," Our evaluation of past and current information from Redfish Lake highlights that if regional SAR goals of 4% (NPCC 2014) were met, adults would import more nutrients than juveniles export.",No,,"Wild salmon management that incorporates place-based policies such as terminal fisheries that support spawner escapement goals and
achieve high habitat connectivity and productivity will help to recover normative salmon-derived nutrient flux and achieve meaningful population
recovery","Overall, our findings suggest that a sufficient number of adult recruits relative to juvenile migrants, corresponding to a smolt-to-adult return rate > 0.78%, is needed to achieve positive salmon-mediated nutrient flux within lakes and that this will depend on both adequate population productivity and enhanced marine and freshwater habitat connectivity","nutrient flux, Snake River, ",No,Conserving wild populations,"Evans, Melissa L.; Kohler, Andre E.; Griswold, Robert G.; Tardy, Kurt A.; Eaton, Kendra R.; Ebel, Jonathan D."
0.033355956,5430,Smith 2014,Genetic Composition of the Warm Springs River Chinook Salmon Population Maintained following Eight Generations of Hatchery Production,Consensus,5430,Genetic Composition of the Warm Springs River Chinook Salmon Population Maintained following Eight Generations of Hatchery Production,Smith et al.,2014,Transactions of the American Fisheries Society,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,Our objective for the present study was to evaluate whether the genetic characteristics of the naturally spawning population of Spring Chinook Salmon in Warm Springs River had changed over the course of eight generations of hatchery production.,,More empirical/basic science,"Genetic/evolutionary ecology (life history strategies, phenotype/genotype; phenology, restoration ecology)","We analyzed 76 single nucleotide polymorphism markers in Spring Chinook Salmon Oncorhynchus tshawytscha collected from the Warm Springs River in 1976É??1977 (prior to hatchery production) and 2001É??2011 (posthatchery) to examine whether the genetic characteristics of the endemic
population had changed during that time.",Empirical data,2001-2012,No,Western science,No,,King/Chinook (Oncorhynchus tshawytscha),Harvest/fisheries augmentation; Conservation stocking,Yes,"The dual objectives for this program are fishery enhancement and conservation of the endemic population (Z. Jackson, 1984, letter to W. Steuke,
U.S. Fish and Wildlife Service, recommending two stock management of spring Chinook populations; C. Stainbrook and E. Green Sr., 1984 memorandum to W. Steuke, U.S. Fish and Wildlife Service, recommending two stock management of
spring Chinook populations). ",Irrelevant to study,Paper state that mixed discrete/multiple generations and new brood stock are used,,Not stated,,,Feed use not mentioned,,Yes,"The hatchery is thought to have been fairly successful in implementing its strategy to limit pHOS, and our results suggest that the natural-origin population of Spring Chinook Salmon returning to the Warm Springs River today is similar
to the one that returned prior to the inception of Warm Springs Hatchery (although posthatchery fish did exhibit lower He)",No,,No,,No,,"Continued monitoring of genetic and
other aspects of the population will allow the comanagers to
make informed decisions regarding the future of Warm
Springs River Spring Chinook Salmon",We conclude that natural-origin Chinook Salmon returning to the Warm Springs River form a distinct group within the interior Columbia Basin spring-run lineage and have changed very little over the past eight generations. ,"genetic composition, hatchery production",No,Conserving wild populations; Supporting fisheries,"Smith, Christian T.; French, Rod; Lovtang, Jens; Hand, David"
0.034047364,5358,Thompson 2015,The effects of high rearing density on the potential for domestication selection in hatchery culture of steelhead (Oncorhynchus mykiss),Consensus,5358,"The effects of high rearing density on the potential for
domestication selection in hatchery culture of steelhead
(Oncorhynchus mykiss)",Thompson et al.,2015,Can. J. Fish. Aquat. Sci.,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,"to determine if (i) rearing at high density
increases among-family variation in body size (increased opportunity for selection among families) and (ii) if a family-by-environment inter-
action occurs such that rank order family body size changes substantially.","We expected the opportunity for among-family selection (i.e., percentage of variation in body size that is among families) to be larger at high density than at low density. We also predicted a
significant family-by-density interaction would exist such that the largest families in high density would not be the largest families in low density. ",More empirical/basic science,Rearing practices/technology,"We raised the same set of families, in replicate, at each of two densities.",Empirical data,2011-2013,No,Western science,,,Steelhead/Anadromous Rainbow Trout (Oncorhynchus mykiss),Purpose not stated,No,,Freshwater (flow-through),Paper state that mixed discrete/multiple generations and new brood stock are used,,Not stated,,,Yes,"fed to satiation daily with Bio-Oregon (Longview, Washington) commercial fish feed.",No,,No,,No,,No,,No,"The relationship between size at release and probability of survival is strongly nonlinear (almost truncational) for steelhead. Because high density decreases the fork lengths of all families approximately equally, high density could simply reduce the number of families that are above a threshold for high survival, resulting in strong
among-family selection after release from the hatchery.","rearing density, selection, ",No,Other: hatchery rearing density,"Thompson, Neil F.; Blouin, Michael S."
0.037383239,5312,Beacham 2020,"Large-scale parentage-based tagging and genetic stock identification applied in assessing mixed-stock fisheries and hatchery brood stocks for coho salmon in British Columbia, Canada",Consensus,5312,"Large-scale parentage-based tagging and genetic stock identification applied in assessing mixed-stock fisheries and hatchery brood stocks for coho salmon in British Columbia, Canada","Beacham, T.D. et al",2020,Canadian Journal of Fisheries and Aquatic Science,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,The objective is not explicitly stated but appears to have been to compare the use of genetic stock identification and parentage based (genetic) tagging vs coded wire tag recoveries as means to assign catches in mixed stock fisheries to river stocks and wild vs hatchery origins.,Not stated.,More empirical/basic science,"Genetic/evolutionary ecology (life history strategies, phenotype/genotype; phenology, restoration ecology)",the Genetic Stock IdentificationÉ??parentage based tagging approach was applied to coho salmon fisheries (commercial and recreational) and hatchery brood stocks in BC in 2018. Single Nucleotide Polymorphisms (SNPs) were the genetic tool. ,Empirical data,2018,No,Western science,No,,Silver/Coho (Oncorhynchus kisutch),Harvest/fisheries augmentation; Conservation stocking; Scientific stocking,No,,"Mentions stocking only, system not specified",Not stated,,Not stated,,,Feed use not mentioned,,Irrelevant to study,,No,,No,,No,,No specific management recommendation is made. The paper is mainly a call for the use of genetics in stock assessment rather than traditional tagging.,We conclude that a genetic approach can improve upon the results available from the current CWT program for assessment and management of coho salmon fisheries and hatchery brood stocks in BC and provide information critical to aid in implementation of CanadaÉ??s Policy for Conservation of Wild Pacific Salmon,"genetics, tagging, assignment",No,Conserving wild populations; Supporting fisheries,"Beacham, Terry D.; Jonsen, Kim; McIntosh, Brenda; Sutherland, Ben J. G.; Willis, David; Lynch, Cheryl; Wallace, Colin"
0.039341347,15376,Kock 2016,"Angler Harvest, Hatchery Return, and Tributary Stray Rates of Recycled Adult Summer Steelhead Oncorhynchus mykiss in the Cowlitz River, Washington: Research & Management",Consensus,15376,"ANGLER HARVEST, HATCHERY RETURN, AND TRIBUTARY STRAY RATES OF
RECYCLED ADULT SUMMER STEELHEAD ONCORHYNCHUS MYKISS IN THE
COWLITZ RIVER, WASHINGTON",Kock et al.,2016,River research and Application,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,"In this 2-year study, our goal was to evaluate steelhead
recycling in the Cowlitz River to quantify hatchery return,
angler harvest, and tributary stray rates",See above,More management/applied,"Management; Stock analysis (assessment, growth, recruitment, survival, harvest, contributions from wild and hatchery, etc.)",Tagging and recapture. Floy tags and a share radiotagged.,Empirical data,2012-2013,No,Western science,No,,Steelhead/Anadromous Rainbow Trout (Oncorhynchus mykiss),Harvest/fisheries augmentation,Yes,"""Recycle"" hatchery steelhead to river to improve angling.",Irrelevant to study,Not stated,,Not stated,,,,,No,,No,,No,,No,,,"About two thirds of the steelhead that were recycled for this study were removed from the lower Cowlitz River by either
returning to the hatchery or being harvested by anglers.","Recyckling hatchery produced steelhead and their ""fate"".",No,Supporting fisheries,"Kock, T J; Perry, R W; Gleizes, C; Dammers, W; Liedtke, T L"
0.043285755,5530,Davis 2018,Integrated Diet Analyses Reveal Contrasting Trophic Niches for Wild and Hatchery Juvenile Chinook Salmon in a Large River Delta,Consensus,5530,Integrated Diet Analyses Reveal Contrasting Trophic Niches for Wild and Hatchery Juvenile Chinook Salmon in a Large River Delta,Davis et al.,2018,Transactions of the American Fisheries Society,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,"For our study, we used a cohesive analysis of short-term (stomach contents) and long-term (stable isotopes) data sets to elucidate where juvenile Chinook Salmon were foraging within the delta habitat mosaic, the types of prey they were consuming, and the energetic quality of their diets with respect to habitat use. ","We expected to see clear differences between what we observed in stomach contents and the dietary contributions predicted from the temporally integrative stable isotope analysis, as juvenile Chinook Salmon exhibit variable residence times in habitats throughout the out-migration sequence.
Overall, we anticipated that dietary composition would be dictated by habitat type such that the proportion of time spent in each habitat and the size-class distribution of the individuals therein would be indicative of prey consumption patterns. We also hypothesized that because hatchery fish are reared on hatchery food and released at a larger size than their wild counterparts, their stable isotope signatures would demonstrate marked differences in diet earlier in the out-migration season, even if differences in stomach contents were not evident.",More empirical/basic science,"Biology/ecology (prey/feeding, migrations, interactions/competition, predation, etc.)",Integrated diet approach with stomach content and stable isotope analyses to evaluate contrasting patterns of habitat use and prey consumption in a fall-run population of juvenile Chinook Salmon.,Empirical data,2014 and 2015,No,Western science,No,,King/Chinook (Oncorhynchus tshawytscha),Harvest/fisheries augmentation; Conservation stocking,No,,Not clearly stated/defined; Irrelevant to study,Not stated,,Juvenile,,,No,,Irrelevant to study,,No,,No,,No,,No.,"There may be a short (~2- week) pulse of intense competition between hatchery and wild fish in the Nisqually River delta in May but as fish grow larger in June and July, trophic overlap between the hatchery and wild fish decreases because of differing habitat use.",near-shore habitat and prey competition; hatchery-wild interactions,No,Conserving wild populations,"Davis, Melanie J.; Woo, Isa; Ellings, Christopher S.; Hodgson, Sayre; Beauchamp, David A.; Nakai, Glynnis; De La Cruz, Susan E. W."
0.055661428,25545,Matala 2019,Early Observations from Monitoring a Reintroduction Program: Return of Sockeye Salmon to a Nursery Lake of Historical Importance,Consensus,25545,"Early Observations from Monitoring a Reintroduction Program:
Return of Sockeye Salmon to a Nursery Lake of Historical Importance",Matala et al.,2018,Transactions of the American Fisheries Society ,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,The objective of this study is to genetically monitor the reintroduction program of Sockeye Salmon in Cle Elum Lake to test three primary hypotheses,"three primary hypotheses: (1) no reproductive isolation (i.e., no assortative mating) between donor
stocks, (2) no difference in reproductive success between
donor stocks, and (3) no difference in population demographics between natal and introduced environments for
either donor stock.",More empirical/basic science,"Biology/ecology (prey/feeding, migrations, interactions/competition, predation, etc.); Stock analysis (assessment, growth, recruitment, survival, harvest, contributions from wild and hatchery, etc.)",,Empirical data,2009-2016,No,Western science,No,,Red/Sockeye (Oncorhynchus nerka),Purpose not stated,No,,Irrelevant to study,Not stated,,Not stated,,,Feed use not mentioned,,No,,No,,No,,No,," However, if productivity is limited by postemigration factors (e.g.,
lower Yakima River conditions), then the relative abundances of returning spawners will not accurately reflect
the juvenile rearing capacity or reproductive success of Sockeye Salmon in Cle Elum Lake. This should be a consideration for managers evaluating the success of reintroduction programs based on trends in escapement. ","Smolts rearing in Cle Elum Lake were significantly larger overall (OSO, 140 mm; WEN, 129 mm) than smolts
in either donor population (84 mm). However, the average size of OSO smolts varied among emigration years, and relative smolt abundances favored the WEN stock (70% overall), indicative of a rearing survival advantage. In relation, the WEN stock exhibited a better average rate of replacement (0.80) in adult-to-adult escapement compared with the OSO stock (0.17).","reproduction, donor stock",No,Conserving wild populations,"Matala, A.P.; Narum, S.R.; Saluskin, B.P.; Johnston, M.V.; Newell, J.E.; Fast, D.E.; Galbreath, P.F."
0.058832907,5085,Hyvarinen 2013,Enriched rearing improves survival of hatchery-reared Atlantic salmon smolts during migration in the River Tornionjoki,Consensus,5085,"Enriched rearing improves survival of hatchery-reared Atlantic salmon
smolts during migration in the River Tornionjoki", Hyv??rinen et al. ,2013,Canadian Journal of Fisheries and Aquatic Sciences,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Atlantic,"In this study, a new enriched rearing method for large-scale production was tested. The questions of this study were threefold. First, does rearing (enriched and standard) influence survival and migratory speed of salmon smolts? Second, does brood fish origin (wild versus hatchery) influence survival and migratory speed of salmon smolts? Third, does survival and migration speed of hatchery or wild parental smolts reared in standard or enriched tanks differ from
that of nature-caught smolts? ","Enriched rearing in this study was predicted to (i) enhance survival and (ii) increase migration speed of hatchery-reared salmon. Smolts originating from wild parents were likely less domesticated and therefore predicted to have higher innate ability to adapt to natural conditions (Rodewald et al. 2011). Therefore, offspring of wild parents reared in enriched tanks were expected to be most similar to the nature-caught smolts regarding survival and migration speed, and offspring of hatchery parents reared in standard tanks were expected to be least similar to nature-caught smolts.",More management/applied,"Management; Rearing practices/technology; Telemetry; Stock analysis (assessment, growth, recruitment, survival, harvest, contributions from wild and hatchery, etc.)"," Structural enrichment was combined with variation in the form of irregular changes in water levels, velocities, and direction aiming to create fish that, after release, adapt easier to the changing conditions of the wild. To test the effects of the enriched rearing method on postrelease performance, Atlantic salmon (Salmo salar) smolts from the River Tornionjoki population were used in this study. . To contribute to the discussion of nature versus nurture and to study the effect of the
enriched rearing method, offspring of both wild and hatchery brood fish were reared in both enriched and standard tanks. They were radio-tagged as smolts and released together with radio-tagged, nature-caught smolts to compare survival and seaward migration",Empirical data,2010-2012,No,Western science,No,,Atlantic Salmon (Salmo salar),Scientific stocking,No,,"Mentions stocking only, system not specified",Not stated,,Not stated,,,Yes, commercial pellets with automatic feeders,Irrelevant to study,,Yes,"Hatchery fish are known to differ from their wild conspecifics in important life skill traits, for example, antipredator behavior, swimming ability, migration, and survival",Yes,This study was the first to confirm that survival of Atlantic salmon smolts during river migration can be improved by enhancing rearing conditions of hatchery fish,No,,no," The results of this study show that enriching the rearing environment with methods easily applicable to large-scale production promotes smolt survival and migration speed during river migration, which is imperative for stocking success","enrichment, flow variability, broodstock origin",No,Does not address research topics,"Hyvarinen, Pekka; Rodewald, Petra"
0.06026422,6176,Perry 2013,"An integrated analysis of the marine social-ecological system of the Strait of Georgia, Canada, over the past four decades, and development of a regime shift index",Consensus,6176,"An integrated analysis of the marine social-ecological system of the Straight of Georgia, Canada, over the past four decades, and the development of a regime shift index. ",Perry and Masson,2013,Progress in Oceanography,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific," The objectives of this
study are to develop a DriverÉ??PressureÉ??StateÉ??Impact (DPSI)
framework to describe the pathways of effects causing changes
in the Strait of Georgia, to use this framework to characterise the
large-scale temporal (regime-like) patterns of variability of this
system over the past 40 years, and to develop suitable indicators
of these changes.","The objectives of this
study are to develop a DriverÉ??PressureÉ??StateÉ??Impact (DPSI)
framework to describe the pathways of effects causing changes
in the Strait of Georgia, to use this framework to characterise the
large-scale temporal (regime-like) patterns of variability of this
system over the past 40 years, and to develop suitable indicators
of these changes.",More management/applied,Management,DPSI framework analysis; multivariate statistical analysis on DPSI nodes,Literature review; Simulation,N/A,No,Western science,Yes (please describe below),Engages social-ecological systems thinking and framework analysis,King/Chinook (Oncorhynchus tshawytscha),Purpose not stated,No,,Not clearly stated/defined,Not stated,,Not stated,,,Feed use not mentioned,,No,,No,,No,,No,,no,the ability to include human drivers nad pressures in teh same model makes this approach suitable for developing indicators for an ecosystem approach to management that goes beyond fisheries issues. ,"DPSR analysis; pressures and drivers, social-ecological thinking",No,Does not address research topics,"Perry, R. Ian; Masson, Diane"
